Page,#,Element,Category,Key Details
Global Elements,1,Navigation Bar,Interaction,"Static top navigation; no dropdowns. Dark background (#2c3e50). Links persist on all pages. Active state shown with darker background (#34495e)."
Global Elements,2,Navigation Links (Homepage/Explore Stories/Ask MattGPT/About Matt),Interaction,"Font weight: Medium. Hover state shows underline or color shift. Active tab visually distinguished. Clickable throughout entire label area."
Global Elements,3,Professional Footer,Content,"Appears on all pages. Three sections: heading, availability messaging, contact CTAs. Dark background (#2c3e50), white text."
Global Elements,4,Footer Contact CTAs,Interaction,"Three buttons: Email (primary purple #8B5CF6), LinkedIn (secondary translucent), Ask Agy (secondary translucent). All include icons. Email opens mailto link, LinkedIn opens profile in new tab."
Global Elements,5,Email CTA Button,Interaction,"Primary purple button (#8B5CF6). Contains ""📧 mcpugmire@gmail.com"". Clickable, opens default email client with pre-filled to: address."
Global Elements,6,LinkedIn CTA Button,Interaction,"Secondary button with rgba(255,255,255,0.1) background. Contains ""💼 LinkedIn"". Opens https://www.linkedin.com/in/matt-pugmire/ in new tab."
Homepage,1,Hero Section,Visual/Technical,"Gradient background (135deg, #667eea 0%, #764ba2 100%). Padding: 60px 40px (adjusts to 30px on screens <800px height). Contains logo image, greeting, headline, tagline, and CTA buttons."
Homepage,2,MattGPT Logo Image,Visual/Technical,"PNG file: ""MattGPT_Agy_Transparent.png"". Max-width: 400px (reduces to 300px on <800px height, 260px on <700px height). Drop-shadow filter applied. Centered."
Homepage,3,Hero Greeting,Content,"Text: ""👋 Hi, I'm Matt Pugmire"". Font-size: 18px (16px on shorter screens). Display: flex with 8px gap between emoji and text. Opacity: 0.95. Centered."
Homepage,4,Hero Headline,Content,"Text: ""Digital Transformation Leader"". Font-size: 42px (36px on <800px height, 32px on <700px). Font-weight: 700. Margin-bottom: 16px. Color: white. Centered."
Homepage,5,Hero Tagline,Content,"Static description text. Font-size: 18px (16px on shorter screens). Max-width: 700px. Margin: 0 auto 32px (20px on shorter screens). Line-height: 1.6. Opacity: 0.95. Centered."
Homepage,6,Hero CTA Buttons,Interaction,"Two buttons side-by-side: ""Explore Stories"" (primary) and ""Ask Agy 🐾"" (secondary). Display: flex with 16px gap. Justify-content: center. Both buttons have padding 14px 32px, border-radius 8px."
Homepage,7,"""Explore Stories"" Button (Primary)",Interaction,"Background: white. Color: #667eea. Border: 2px solid white. Links to explore_stories_cards_wireframe.html. Hover: slight lift (translateY(-2px)) + shadow."
Homepage,8,"""Ask Agy 🐾"" Button (Secondary)",Interaction,"Background: rgba(255,255,255,0.2). Color: white. Border: 2px solid white. Links to ask_mattgpt_landing_wireframe.html. Hover: background rgba(255,255,255,0.3) + slight lift."
Homepage,9,Stats Bar,Technical/Data,"Four equal-width stat tiles. Grid layout: repeat(4, 1fr). Border-bottom: 2px solid #e0e0e0. Each stat has number and label vertically stacked."
Homepage,10,Stat Tile,Content,"Padding: 30px. Text-align: center. Border-right: 1px solid #e0e0e0 (except last). Contains stat-number and stat-label."
Homepage,11,Stat Number,Visual/Technical,"Font-size: 36px. Font-weight: 700. Color: #667eea. Margin-bottom: 8px. Examples: ""20+"", ""115"", ""300+"", ""15+""."
Homepage,12,Stat Label,Content,"Font-size: 13px. Color: #7f8c8d. Text-transform: uppercase. Font-weight: 600. Examples: ""Years Experience"", ""Projects Delivered""."
Homepage,13,"""What would you like to explore?"" Section Header",Content,"Font-size: 32px. Color: #2c3e50. Text-align: center. Margin-bottom: 12px. Display: flex with 12px gap (emoji + text). Justify-content: center."
Homepage,14,Industry Cards (Financial Services/Cross-Industry),Interaction,"Grid: repeat(2, 1fr). Gap: 24px. Each card is a clickable link. Gradient background (same as hero). Padding: 32px. Border-radius: 12px. Box-shadow on hover."
Homepage,15,Industry Card Icon,Visual/Technical,"Font-size: 36px. Margin-bottom: 16px. Examples: ""🏦"" (banking), ""🌐"" (cross-industry)."
Homepage,16,Industry Card Title,Content,"Font-size: 24px. Font-weight: 700. Margin-bottom: 8px. Color: white."
Homepage,17,Industry Card Count,Content,"Font-size: 16px. Opacity: 0.95. Font-weight: 600. Color: white. Examples: ""55 projects"", ""51 projects""."
Homepage,18,Industry Card Description,Content,"Font-size: 14px. Line-height: 1.6. Opacity: 0.9. Color: white. Margin-bottom: 16px."
Homepage,19,Industry Card Tags,Content,"Display: flex. Flex-wrap: wrap. Gap: 8px. Each tag has background rgba(255,255,255,0.2), padding 4px 10px, border-radius 12px, font-size 11px, font-weight 600."
Homepage,20,Industry Card CTA,Interaction,"Padding: 10px 20px. Background: rgba(255,255,255,0.2). Border: 2px solid white. Border-radius: 8px. Color: white. Font-weight: 600. Font-size: 14px. Hover: background white, color #667eea."
Homepage,21,Capability Cards Grid,Interaction/Logic,"Grid: repeat(2, 1fr). Gap: 24px. Four cards: Product Innovation, App Modernization, Consulting & Transformation, Teams & Talent. Each card clickable."
Homepage,22,Capability Card,Interaction,"Background: white. Border: 2px solid #e0e0e0. Border-radius: 12px. Padding: 24px. Hover: border-color #667eea, shadow, translateY(-2px)."
Homepage,23,Capability Card Icon,Visual/Technical,"Font-size: 28px. Margin-bottom: 8px. Examples: ""🚀"", ""🔧"", ""💡"", ""👥""."
Homepage,24,Capability Card Title,Content,"Font-size: 18px. Color: #2c3e50. Margin-bottom: 8px. Font-weight: 600."
Homepage,25,Capability Card Description,Content,"Font-size: 13px. Color: #7f8c8d. Line-height: 1.5. Margin-bottom: 12px."
Homepage,26,Capability Card Examples,Content,"Font-size: 12px. Color: #95a5a6. Font-style: italic. Line-height: 1.5. Margin-bottom: 16px. Sample questions shown."
Homepage,27,"""Ask Agy"" Full-Width Card",Interaction,"Grid-column: 1 / -1 (spans full width). Gradient background (#8B5CF6 to #7C3AED). Color: white. Border: 2px solid transparent. Hover: border rgba(255,255,255,0.3), shadow."
Homepage,28,"""Ask Agy"" Card Avatar",Visual/Technical,"Image: ""agy_avatar_64_dark.png"". Width/height: 64px. Border-radius: 50%. Border: 3px solid white. Box-shadow. Display: flex with 16px gap next to title."
About Matt,1,Hero Section,Visual/Technical,"Gradient background (135deg, #667eea 0%, #764ba2 100%). Padding: 50px 40px. Color: white. Grid layout: auto 1fr with 40px gap."
About Matt,2,Hero Avatar,Visual/Technical,"Image: ""agy_avatar_128_light.png"". Width/height: 120px. Border-radius: 50%. Positioned in grid column 1."
About Matt,3,Hero Title,Content,"Text: ""Matt Pugmire"". Font-size: 36px. Margin-bottom: 12px. Color: white. Font-weight: bold."
About Matt,4,Hero Subtitle,Content,"Text: ""Digital Transformation Leader | Director of Technology Delivery"". Font-size: 18px. Opacity: 0.95. Margin-bottom: 20px."
About Matt,5,Hero Bio,Content,"Paragraph text with availability signal. Font-size: 15px. Line-height: 1.7. Opacity: 0.9. Max-width: 800px. Includes: ""Currently exploring opportunities to lead platform engineering, product innovation, and organizational transformation initiatives."""
About Matt,6,Stats Bar,Technical/Data,"Five equal-width stat tiles. Grid layout: repeat(5, 1fr). Border-bottom: 2px solid #e0e0e0."
About Matt,7,Stat Tile,Content,"Padding: 30px. Text-align: center. Border-right: 1px solid #e0e0e0 (except last). Stat number color: #8B5CF6."
About Matt,8,Career Evolution Section,Content,"Padding: 50px 40px. Border-bottom: 2px solid #e0e0e0. Contains section header and timeline."
About Matt,9,Section Header,Content,"Text-align: center. Margin-bottom: 40px. H2 font-size: 32px, color #2c3e50. Supporting text: font-size 16px, color #7f8c8d."
About Matt,10,Timeline Container,Visual/Technical,"Max-width: 900px. Margin: 0 auto. Position: relative. Padding-left: 40px. Vertical line positioned absolute (left: 0, width: 3px, gradient #8B5CF6 to #7C3AED)."
About Matt,11,Timeline Item,Interaction/Logic,"Position: relative. Margin-bottom: 30px. Padding-left: 30px. Dot marker (::before) positioned absolute (left: -47px, width: 14px, height: 14px, white background, border: 3px solid #8B5CF6, border-radius: 50%)."
About Matt,12,Timeline Year,Content,"Font-size: 14px. Font-weight: 700. Color: #8B5CF6. Margin-bottom: 8px."
About Matt,13,Timeline Title,Content,"Font-size: 18px. Font-weight: 600. Color: #2c3e50. Margin-bottom: 6px. Includes emoji prefix."
About Matt,14,Timeline Company,Content,"Font-size: 14px. Color: #7f8c8d. Margin-bottom: 8px."
About Matt,15,Timeline Description,Content,"Font-size: 14px. Color: #555. Line-height: 1.6."
About Matt,16,Core Competencies Section,Content,"Padding: 50px 40px. Border-bottom: 2px solid #e0e0e0. Contains section header and competencies grid."
About Matt,17,Competency Category Badges,Visual/Technical,"Display: inline-block. Background: #8B5CF6. Color: white. Padding: 8px 20px. Border-radius: 20px. Font-size: 14px. Font-weight: 600. Margin: 0 8px 32px. Examples: ""💻 Technical"", ""👥 Leadership""."
About Matt,18,Competencies Grid,Interaction/Logic,"Grid: repeat(3, 1fr). Gap: 24px. Six competency cards total."
About Matt,19,Competency Card,Interaction,"Background: #fafafa. Border: 2px solid #e0e0e0. Border-radius: 12px. Padding: 24px. Hover: border-color #8B5CF6, shadow."
About Matt,20,Competency Icon,Visual/Technical,"Font-size: 36px. Margin-bottom: 16px. Examples: ""🚀"", ""🔧"", ""⚡"", ""💡"", ""👥"", ""🤖""."
About Matt,21,Competency Title,Content,"Font-size: 18px. Font-weight: 600. Color: #2c3e50. Margin-bottom: 12px."
About Matt,22,Competency List,Content,"List-style: none. Gap: 6px. Each item has arrow (→) prefix in #8B5CF6, font-size 13px, color #555, padding-left 16px."
About Matt,23,Leadership Philosophy Section,Content,"Padding: 50px 40px. Border-bottom: 2px solid #e0e0e0. Contains section header and philosophy grid."
About Matt,24,Philosophy Grid,Interaction/Logic,"Grid: repeat(2, 1fr). Gap: 24px. Four philosophy cards."
About Matt,25,Philosophy Card,Visual/Technical,"Background: linear-gradient(135deg, #667eea 0%, #764ba2 100%). Color: white. Border-radius: 12px. Padding: 32px."
About Matt,26,Philosophy Card Title,Content,"Font-size: 20px. Margin-bottom: 12px. Includes emoji prefix. Color: white."
About Matt,27,Philosophy Card Text,Content,"Font-size: 14px. Line-height: 1.7. Opacity: 0.95. Color: white."
About Matt,28,Technical Architecture Section,Content,"Padding: 50px 40px. Background: #fafafa. Border-bottom: 2px solid #e0e0e0. Contains section header, architecture intro, diagram, and tech details grid."
About Matt,29,Architecture Intro Box,Visual/Technical,"Background: white. Border: 2px solid #e0e0e0. Border-radius: 12px. Padding: 24px. Margin-bottom: 32px. Max-width: 900px. Margin-left/right: auto."
